# 才哥战法股池 2026-08-13（并入股池跟踪）
# 格式：代码 # 名称（战法类型）
sh603992 # 松霖科技（旭日东升）
sz000802 # 北京文化（凤凰归巢）
sz002248 # 华东数控（凤凰归巢）
sz002329 # 皇氏集团（凤凰归巢）
sh600272 # 开开实业（凤凰归巢）
sh600881 # 亚泰集团（凤凰归巢）
sh600721 # 百花医药（凤凰归巢）
sz000665 # 湖北广电（瞒天过海）
sz000410 # 沈阳机床（瞒天过海）
sz001313 # 粤海饲料（瞒天过海）
sz002005 # 德豪润达（瞒天过海）
sz002031 # 巨轮智能（瞒天过海）
sz002047 # 宝鹰股份（瞒天过海）
sz002178 # 延华智能（瞒天过海）
sz002229 # 鸿博股份（瞒天过海）
sz002483 # 润邦股份（瞒天过海）
sz002491 # 通鼎互联（瞒天过海）
sz002421 # 达实智能（瞒天过海）
sz002682 # 龙洲股份（瞒天过海）
sh600162 # 香江控股（瞒天过海）
sh600602 # 云赛智联（瞒天过海）
sh600604 # 市北高新（瞒天过海）
sh603396 # 金辰股份（瞒天过海）
sh603538 # 美诺华（瞒天过海）
sh603076 # 乐惠国际（瞒天过海）
sh603095 # 越剑智能（瞒天过海）
sh603277 # 银都股份（瞒天过海）
sh603690 # 至纯科技（瞒天过海）
