signal_date,code,name,price,vol_ratio,turnover,lbc,fbt,hybk,source,r5,r10,r20,b5,b10,b20,ex5,ex10,ex20
2016-01-28,sz000029,,7.87,3.1,,1,,,backfill,24.02,34.94,42.31,8.81,5.46,-3.75,15.21,29.48,46.06
2017-07-31,sz000670,,5.45,3.62,,1,,,backfill,2.02,11.56,5.14,9.35,-5.76,19.37,-7.33,17.32,-14.23
2017-09-12,sz000670,,7.18,2.91,,1,,,backfill,2.65,-2.65,-6.41,-5.16,-3.86,3.27,7.81,1.21,-9.68
2017-11-30,sz000670,,6.14,2.63,,1,,,backfill,15.96,22.8,7.49,5.9,-12.47,-9.7,10.06,35.27,17.19
2018-02-26,sz000670,,5.09,1.92,,1,,,backfill,11.39,11.2,4.13,0.77,-12.64,4.63,10.62,23.84,-0.5
2018-02-27,sz000995,,9.13,1.61,,1,,,backfill,-2.96,0.77,-14.68,3.07,-12.89,3.09,-6.03,13.66,-17.77
2018-03-30,sz000670,,6.01,3.18,,1,,,backfill,-0.5,1.66,2.83,-3.23,-0.48,-5.37,2.73,2.14,8.2
2018-04-18,sz000670,,6.72,1.73,,1,,,backfill,-3.72,-2.08,-8.48,-3.7,-0.53,-18.84,-0.02,-1.55,10.36
2018-04-20,sh600610,,4.69,2.49,,1,,,backfill,-0.21,-22.6,-53.52,-6.23,-15.6,-14.02,6.02,-7.0,-39.5
2018-04-27,sz000995,,7.08,2.65,,1,,,backfill,0.42,0.56,-9.89,-3.33,-9.08,-10.55,3.75,9.64,0.66
2018-06-29,sz000670,,5.43,3.31,,1,,,backfill,-2.21,-21.92,-20.26,-4.58,-13.55,-11.23,2.37,-8.37,-9.03
2018-08-29,sz000792,,8.15,3.75,,1,,,backfill,6.13,4.54,10.06,-4.38,-0.15,-6.32,10.51,4.69,16.38
2018-10-17,sz000670,,3.07,2.14,,1,,,backfill,-0.65,8.79,30.62,8.18,18.47,-4.06,-8.83,-9.68,34.68
2018-10-31,sz000670,,3.34,2.57,,1,,,backfill,10.48,20.06,9.28,13.27,-5.77,-3.28,-2.79,25.83,12.56
2019-01-09,sz000670,,3.67,2.44,,1,,,backfill,6.27,4.36,-4.63,-2.11,-3.08,49.18,8.38,7.44,-53.81
2019-01-24,sz000670,,4.21,2.78,,1,,,backfill,-27.79,-18.76,-7.84,14.84,22.01,15.95,-42.63,-40.77,-23.79
2019-03-21,sz000670,,6.28,1.75,,1,,,backfill,-5.73,-23.41,-31.21,2.77,3.2,69.82,-8.5,-26.61,-101.03
2019-04-24,sz000792,,7.51,3.41,,1,,,backfill,-1.07,-8.79,-1.46,1.67,-2.08,-12.33,-2.74,-6.71,10.87
2019-08-19,sh600226,,2.81,2.82,,1,,,backfill,3.56,6.41,15.3,3.3,3.96,-2.41,0.26,2.45,17.71
2019-09-05,sh600816,,5.3,3.07,,1,,,backfill,1.7,-4.34,-9.62,-0.62,-2.63,-2.13,2.32,-1.71,-7.49
2019-09-11,sz002761,,8.86,1.59,,1,,,backfill,2.14,0.79,-19.3,-5.09,0.11,-4.07,7.23,0.68,-15.23
2019-10-14,sh600803,,6.93,2.74,,1,,,backfill,-6.78,-5.77,-18.47,3.05,-5.35,2.74,-9.83,-0.42,-21.21
2019-10-14,sz002948,,4.8,1.56,,1,,,backfill,-5.83,-8.33,-13.75,3.05,-5.35,2.74,-8.88,-2.98,-16.49
2019-10-18,sh603058,,7.08,2.92,,1,,,backfill,-12.01,-13.28,-10.59,-1.07,-3.66,4.97,-10.94,-9.62,-15.56
2019-10-18,sz000659,,3.16,1.73,,1,,,backfill,-7.59,-10.76,-13.29,-1.07,-3.66,4.97,-6.52,-7.1,-18.26
2019-10-21,sh600975,,9.45,3.96,,1,,,backfill,7.3,-6.56,-16.3,-2.31,-3.27,5.79,9.61,-3.29,-22.09
2019-10-22,sh600060,,5.99,2.06,,1,,,backfill,-9.02,-7.35,-13.86,-0.64,-1.79,5.36,-8.38,-5.56,-19.22
2019-10-22,sh600575,,2.7,2.53,,1,,,backfill,-11.11,-15.93,-17.41,-0.64,-1.79,5.36,-10.47,-14.14,-22.77
2019-10-22,sz002351,,4.32,1.69,,1,,,backfill,25.0,75.0,104.63,-0.64,-1.79,5.36,25.64,76.79,99.27
2019-10-23,sh600467,,2.53,2.85,,1,,,backfill,-1.58,-7.51,-8.3,-0.2,-1.6,6.27,-1.38,-5.91,-14.57
2019-10-23,sz000633,,4.54,2.53,,1,,,backfill,-8.59,-10.79,-15.2,-0.2,-1.6,6.27,-8.39,-9.19,-21.47
2019-10-23,sz000679,,4.05,3.67,,1,,,backfill,-5.19,-8.64,-9.38,-0.2,-1.6,6.27,-4.99,-7.04,-15.65
2019-10-23,sz000908,,3.09,3.87,,1,,,backfill,-12.62,-12.62,-17.8,-0.2,-1.6,6.27,-12.42,-11.02,-24.07
2019-10-23,sz002084,,4.46,3.3,,1,,,backfill,2.02,16.82,0.9,-0.2,-1.6,6.27,2.22,18.42,-5.37
2019-10-23,sz002291,,6.38,1.61,,1,,,backfill,6.27,23.2,12.07,-0.2,-1.6,6.27,6.47,24.8,5.8
2019-10-23,sz002591,,9.19,3.83,,1,,,backfill,-6.09,2.83,-9.68,-0.2,-1.6,6.27,-5.89,4.43,-15.95
2019-10-24,sz000408,,0.58,1.53,,1,,,backfill,-29.31,1.72,-101.72,1.53,-2.31,7.11,-30.84,4.03,-108.83
2019-10-24,sz000708,,6.03,1.66,,1,,,backfill,17.41,27.53,37.81,1.53,-2.31,7.11,15.88,29.84,30.7
2019-10-24,sz002700,,8.8,3.48,,1,,,backfill,0.57,-0.45,-14.55,1.53,-2.31,7.11,-0.96,1.86,-21.66
2019-10-25,sh600096,,0.82,1.68,,1,,,backfill,-8.54,-48.78,-71.95,0.11,-2.75,7.03,-8.65,-46.03,-78.98
2019-10-25,sh600546,,0.66,1.65,,1,,,backfill,27.27,78.79,56.06,0.11,-2.75,7.03,27.16,81.54,49.03
2019-10-25,sh600750,,3.96,2.71,,1,,,backfill,11.36,4.29,-21.46,0.11,-2.75,7.03,11.25,7.04,-28.49
2019-10-25,sh601689,,6.03,1.76,,1,,,backfill,7.46,21.56,11.11,0.11,-2.75,7.03,7.35,24.31,4.08
2019-10-25,sz002330,,7.21,2.59,,1,,,backfill,-1.8,6.38,19.97,0.11,-2.75,7.03,-1.91,9.13,12.94
2019-10-25,sz002351,,4.48,1.6,,1,,,backfill,39.29,59.37,72.1,0.11,-2.75,7.03,39.18,62.12,65.07
2019-10-28,sh601058,,2.61,3.49,,1,,,backfill,1.92,9.58,5.75,-3.15,0.45,4.53,5.07,9.13,1.22
2019-10-28,sh601216,,1.26,3.23,,1,,,backfill,-8.73,-9.52,-7.14,-3.15,0.45,4.53,-5.58,-9.97,-11.67
2019-10-28,sh601899,,1.09,3.48,,1,,,backfill,10.09,12.84,18.35,-3.15,0.45,7.84,13.24,12.39,10.51
2019-10-28,sz000711,,5.23,1.61,,1,,,backfill,-10.13,-14.34,1.34,-3.15,0.45,4.53,-6.98,-14.79,-3.19
2019-10-28,sz000882,,2.43,3.98,,1,,,backfill,-4.53,-8.64,-9.47,-3.15,0.45,4.53,-1.38,-9.09,-14.0
2019-10-28,sz002137,,8.31,1.74,,1,,,backfill,-10.59,-17.57,-22.98,-3.15,0.45,4.53,-7.44,-18.02,-27.51
2019-10-28,sz002416,,3.6,3.93,,1,,,backfill,-12.5,-16.67,-12.78,-3.15,0.45,4.53,-9.35,-17.12,-17.31
2019-10-28,sz002517,,2.44,3.33,,1,,,backfill,-16.39,-18.85,-13.52,-3.15,0.45,4.53,-13.24,-19.3,-18.05
2019-10-28,sz002649,,8.87,2.06,,1,,,backfill,-2.59,-6.43,-14.32,-3.15,0.45,4.53,0.56,-6.88,-18.85
2019-10-29,sh601789,,3.57,2.97,,1,,,backfill,-10.92,-16.25,-15.69,-3.0,-0.26,6.55,-7.92,-15.99,-22.24
2019-10-29,sz002183,,4.79,1.53,,1,,,backfill,-5.43,-15.03,-15.87,-3.0,-0.26,6.55,-2.43,-14.77,-22.42
2019-10-29,sz002269,,2.42,2.93,,1,,,backfill,-6.2,-16.53,-19.01,-3.0,-0.26,6.55,-3.2,-16.27,-25.56
2019-10-30,sz000933,,0.61,3.85,,1,,,backfill,8.2,-21.31,26.23,-2.56,0.1,7.02,10.76,-21.41,19.21
2019-10-30,sz002061,,3.57,2.52,,1,,,backfill,-4.76,3.08,-6.72,-2.56,0.1,7.02,-2.2,2.98,-13.74
2019-10-31,sh600546,,0.81,1.66,,1,,,backfill,64.2,54.32,-25.93,-2.62,-0.88,8.47,66.82,55.2,-34.4
2019-10-31,sz002799,,9.46,2.46,,1,,,backfill,5.92,-1.27,2.54,-2.62,-0.88,8.47,8.54,-0.39,-5.93
2019-10-31,sz002884,,2.51,3.76,,1,,,backfill,-1.59,-9.96,-15.94,-2.62,-0.88,8.47,1.03,-9.08,-24.41
2019-11-01,sh600216,,9.99,1.81,,1,,,backfill,3.4,3.9,-0.8,-3.77,0.67,7.84,7.17,3.23,-8.64
2019-11-01,sh600329,,5.0,2.09,,1,,,backfill,2.2,-26.2,-23.8,-3.77,0.67,7.84,5.97,-26.87,-31.64
2019-11-01,sz000338,,9.58,2.08,,1,,,backfill,0.84,-2.19,5.22,-3.77,0.67,7.84,4.61,-2.86,-2.62
2019-11-01,sz000408,,0.67,1.61,,1,,,backfill,-19.4,-105.97,-32.84,-3.77,0.67,7.84,-15.63,-106.64,-40.68
2019-11-01,sz000921,,6.25,3.17,,1,,,backfill,4.48,-17.6,-16.0,-3.77,0.67,7.84,8.25,-18.27,-23.84
2019-11-01,sz002012,,5.09,1.51,,1,,,backfill,0.79,-2.16,-5.89,-3.77,0.67,7.84,4.56,-2.83,-13.73
2019-11-01,sz002043,,2.28,1.5,,1,,,backfill,0.0,10.96,55.7,-3.77,0.67,7.84,3.77,10.29,47.86
