date,code,pts,level,month,src
2026-08-11,sh603993,5,观察·月线空头降级,BLOCK,四维7分|鱼身MACD空中加油+均线回踩支撑+箱体突破(74)
2026-08-11,sh603669,4,★ 双信号,WARN,四维6分|鱼身MACD空中加油+均线回踩支撑+箱体突破(82)|双弦共振(65)
2026-08-11,sz002396,4,★ 双信号,WARN,四维9分|鱼身均线回踩支撑(60)
2026-08-11,sh600172,3,观察·月线空头降级,BLOCK,四维7分
2026-08-11,sh600186,3,观察·月线空头降级,BLOCK,四维7分
2026-08-11,sh600192,3,观察·月线空头降级,BLOCK,四维8分
2026-08-11,sh600206,3,★ 双信号,WARN,四维8分
2026-08-11,sh600219,3,观察·月线空头降级,BLOCK,四维7分
2026-08-11,sh600303,3,★ 双信号,?,四维7分
2026-08-11,sh600309,3,★ 双信号,?,四维4分|鱼身MACD空中加油+均线回踩支撑+箱体突破(80)
2026-08-11,sh600330,3,★ 双信号,?,四维8分
2026-08-11,sh600392,3,★ 双信号,?,四维7分
2026-08-11,sh600403,3,★ 双信号,?,四维8分
2026-08-11,sh600436,3,★ 双信号,?,四维7分
2026-08-11,sh600468,3,★ 双信号,?,四维8分
2026-08-11,sh600487,3,★ 双信号,?,四维7分
2026-08-11,sh600488,3,★ 双信号,?,四维8分
2026-08-11,sh600489,3,★ 双信号,?,四维6分|鱼身MACD空中加油+箱体突破(76)
2026-08-11,sh600490,3,★ 双信号,?,四维9分
2026-08-11,sh600497,3,★ 双信号,?,四维7分
