code,name,price,cjb30,b30v100,veab,precip,m5,m10,m20,mainflow,jumbo,small,vol,lv,sig,phase,mode,matching,grade,greason,score
000002,万  科Ａ,3.02,-62.6,1.36,-15.2,-5.45,-71176230,-74730277,-50370315,-1585023,-2641951,5879382,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-1.8
000014,沙河股份,10.19,-31.8,1.04,-43.6,-4.38,-10186762,-10029195,-19123747,-1633901,-1493979,996698,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-1.5
000007,全新好,11.31,-18.8,1.34,-29.7,-2.05,-7743576,-49053549,25051628,4052140,2954105,-12111922,缩量,低,情绪退潮,观望,长线吸筹型,,D,回避：资金观望,-0.7
000009,中国宝安,6.9,-76.2,1.2,-35.3,-2.92,-11472335,-17667592,-15453591,516868,1033297,-3340643,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-1.0
000017,深中华A,7.44,373.1,1.7,-22.0,-5.97,-130561830,-216093756,-286344513,-7952022,-9959760,28973742,放量,低,游资情绪,观望,资金撤退型,,D,回避：资金撤退,6.0
000008,神州高铁,2.4,-40.5,0.46,-39.4,-0.1,-299813,-25844329,-28298933,-3302743,-4693976,994942,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-0.0
000021,深科技,35.51,-72.7,5.05,6.7,1.58,202895747,-237062637,-1164542070,-297029435,-223797558,346927970,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,0.5
000011,深物业A,8.93,64.3,2.79,16.4,-4.25,-26399622,11765905,35018251,11089605,4113965,-13855430,放量,低,游资情绪,观望,资金观望型,,D,回避：资金观望,6.6
000012,南  玻Ａ,3.75,-56.3,4.15,49.7,-2.09,-10511435,-754031,-2994508,-670268,1150813,-4455202,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-0.7
000020,深华发Ａ,12.69,113.2,0.48,-23.5,1.03,8886787,35387913,-16552194,-1785143,-2095723,9538832,放量,低,游资情绪,观望,趋势转多型,,D,回避：资金观望,8.3
000006,深振业Ａ,6.87,-36.4,0.48,-34.3,-7.82,-30130554,-15913114,-12398408,4367186,3917940,-1881314,缩量,低,情绪退潮,吸筹,资金观望型,纯资金炒作(亏损风险),C,谨慎：纯资金炒作,1.4
000019,深粮控股,6.88,519.8,0.16,27.1,-2.87,-31637513,81942069,173536814,21769684,13589831,-25307443,放量,低,游资情绪,抢筹,高位分歧型,机构吸筹+盈利(关注),C,谨慎：资金流入未验证业绩,47.0
000001,平安银行,11.61,-37.4,1.67,-22.6,0.55,25575447,-175033291,124621894,3190323,-20534541,-7296022,缩量,低,情绪退潮,进场,长线吸筹型,资金+业绩共振(双击候选),B,关注：资金+业绩共振,72.2
000025,特  力Ａ,14.52,-58.3,1.69,-66.5,-13.51,-39607247,-60363115,-63127671,-3114880,763130,3876231,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-4.5
000026,飞亚达,18.88,-55.8,0.44,0.9,-2.5,-13623986,17610014,58079129,405389,353902,-3443435,缩量,低,情绪退潮,观望,高位分歧型,,D,回避：资金观望,-0.8
000027,深圳能源,6.23,-17.6,0.57,-7.6,-1.54,-11925234,-11800035,-45344006,-5560712,-7184536,-251506,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-0.5
000028,国药一致,19.77,-78.0,0.61,-13.7,-9.25,-13141662,-23890791,-31170859,-241242,0,253377,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-3.1
000031,大悦城,2.15,15.7,1.31,-8.2,2.69,10227436,22906091,36636841,-7704467,-9394819,2741005,缩量,低,情绪退潮,观望,主力建仓型,,D,回避：资金观望,0.9
000037,深南电A,9.38,-0.8,0.41,68.1,0.56,9037342,5868680,-17954646,-5666891,783973,12775081,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,0.2
000030,富奥股份,3.97,-21.3,0.2,-17.1,-2.36,-4655383,-9006870,-25103298,988343,-1307541,-744857,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-0.8
000032,深桑达Ａ,14.38,-64.8,3.42,-9.6,3.89,81378354,-32179580,-17226750,-30079769,-3812656,26861396,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,1.3
000034,神州数码,22.95,-85.9,1.96,-29.0,-2.25,-30137892,-135467318,-270277379,-34023061,-30090369,28674247,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-0.8
000029,深深房Ａ,21.13,-52.9,2.11,-20.4,-10.99,-41615677,-68876281,-93952507,-8822120,4475955,4767598,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-3.7
000035,中国天楹,4.75,-48.7,0.52,27.2,-4.87,-30225195,37657775,52425275,-891547,-3190633,-5664266,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-1.6
000045,深纺织Ａ,10.97,-37.0,0.65,-56.8,-6.53,-10752435,-25152984,-25197397,2447681,3215942,1369670,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-2.2
000042,中洲控股,8.18,-69.3,1.36,-54.1,-2.79,-4060589,-6341953,-30386660,-850313,-664224,108579,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-0.9
000036,华联控股,3.83,-63.3,0.9,-23.0,1.41,4822492,8827319,11662447,-1091359,924487,-469758,缩量,低,情绪退潮,吸筹,均衡流入型,资金+业绩共振(双击候选),B,关注：资金+业绩共振,64.5
000039,中集集团,9.13,-58.6,0.49,-18.7,-1.97,-21843212,19630949,-66648566,2530741,4495098,-619360,缩量,低,情绪退潮,吸筹,资金观望型,机构吸筹+盈利(关注),C,谨慎：资金流入未验证业绩,23.3
000049,德赛电池,22.2,-61.7,0.27,-21.4,-6.89,-33962669,-51801940,-88678042,-10237628,-9297105,6452313,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-2.3
000058,深 赛 格,6.96,-47.6,0.83,15.6,-7.01,-12590541,-6925542,5840013,-771368,0,-2803143,缩量,低,情绪退潮,观望,高位分歧型,,D,回避：资金观望,-2.3
000059,华锦股份,5.41,11.0,1.07,-32.4,-2.71,-32467495,-47336529,59998419,-3790357,743168,-2714917,缩量,低,情绪退潮,观望,长线吸筹型,,D,回避：资金观望,-0.9
000061,农 产 品,6.02,5.6,1.31,-18.3,-8.64,-63441545,-37979774,49920423,17082244,11436662,-18959312,缩量,低,情绪退潮,观望,高位分歧型,,D,回避：资金观望,-2.9
000060,中金岭南,6.15,-62.9,1.35,-28.1,-9.98,-266349298,-270995769,-253532983,-41618470,-17098641,29986073,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-3.3
000065,北方国际,9.63,-29.8,0.29,-63.8,-0.43,-2789922,-41186988,-6818055,-10062120,-5323634,4735816,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-0.1
000063,中兴通讯,31.87,-80.4,1.82,-27.3,-13.12,-935106709,-2269438002,-3469919441,-326816575,-271524341,273829945,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-4.4
000062,深圳华强,22.58,-64.3,0.44,-38.6,-0.63,-11188949,-224931961,-49631784,-38788011,-38613600,41494539,缩量,低,情绪退潮,观望,长线吸筹型,,D,回避：资金观望,-0.2
000048,京基智农,19.43,-60.3,2.65,38.4,8.55,158350155,24257645,190312345,-15393776,-6067999,19057866,缩量,中,主力惜售,进场,资金观望型,资金+业绩共振(双击候选),B,关注：资金+业绩共振,86.8
000066,中国长城,13.87,-79.9,1.33,10.0,-9.63,-308100975,-439738045,-640654344,-117604333,-113495773,90306578,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-3.2
000050,深天马Ａ,6.55,-68.7,2.72,2.3,5.42,33547949,37099929,18361957,9091303,10638333,-2936328,缩量,中,主力惜售,吸筹,趋势转多型,资金+业绩共振(双击候选),B,关注：资金+业绩共振,77.8
000055,方大集团,3.68,345.3,1.35,72.5,9.15,33967080,32824915,28235577,11223716,827007,-19467917,放量,中,主力偏强放量,进场,资金观望型,纯资金炒作(亏损风险),C,谨慎：纯资金炒作,31.1
000069,华侨城Ａ,1.77,-48.1,1.52,-9.6,-3.67,-11285054,-31885962,-32506827,-3083702,-5205890,1323698,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-1.2
000096,广聚能源,7.96,-37.5,0.92,-18.3,-3.16,-6703075,-25827982,-21534583,-2833429,-2367140,3914886,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-1.1
000068,华控赛格,3.23,-19.3,1.44,-1.2,0.52,1299141,11332187,-5869397,1420671,129100,-169930,缩量,低,情绪退潮,进场,趋势转多型,纯资金炒作(亏损风险),C,谨慎：纯资金炒作,12.2
000099,中信海直,12.87,-60.2,0.86,-8.1,-5.66,-21033828,-27013253,-40448361,-5079236,-4027721,-664655,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-1.9
000155,川能动力,11.58,-60.7,0.35,-41.8,-3.9,-40494006,-163251276,-299266528,-10892134,-13769428,12438610,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-1.3
000088,盐 田 港,4.55,1.5,0.94,74.2,-3.54,-29025886,-60653483,-73838577,16135316,7077362,-6376824,缩量,低,情绪退潮,吸筹,资金撤退型,机构吸筹+盈利(关注),C,谨慎：资金流入未验证业绩,22.8
000156,华数传媒,6.95,-20.1,0.95,-19.1,-2.58,-5723517,891036,-14126178,-3661291,-3160965,1074276,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-0.9
