code,name,price,cjb30,b30v100,veab,precip,m5,m10,m20,mainflow,jumbo,small,vol,lv,sig,phase,mode,matching,grade,greason,score
000007,全新好,12.79,-23.9,1.67,76.7,0.21,1291264,102981312,115975296,-9512227,-2881992,1476270,缩量,低,情绪退潮,观望,均衡流入型,,D,回避：资金观望,0.1
000020,深华发Ａ,12.72,239.6,0.25,515.8,0.77,7920552,5784775,-1505596,-13639327,-2958356,17775625,放量,低,游资情绪,观望,资金观望型,,D,回避：资金观望,8.3
000021,深科技,37.45,-82.2,5.68,-40.6,-3.58,-428533209,-1063933822,-1267939982,-47698005,-30752358,66668924,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-1.2
000006,深振业Ａ,7.17,63.6,0.73,-4.7,0.2,1849285,-10341228,95216038,-12510153,-23856962,-3820534,放量,低,游资情绪,观望,长线吸筹型,,D,回避：资金观望,8.1
000014,沙河股份,10.88,216.4,0.35,46.3,3.12,20608359,15843113,-6257434,-9811680,-3275637,-1933111,放量,低,游资情绪,观望,资金观望型,,D,回避：资金观望,9.0
000012,南  玻Ａ,3.75,-86.7,4.81,-31.3,2.03,5789278,-11001882,-43802790,-4674240,-2190126,924956,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,0.7
000002,万  科Ａ,3.18,116.7,1.1,-17.2,3.66,80444128,101473420,-68409058,-14802340,-22949082,4566370,放量,低,游资情绪,观望,趋势转多型,,D,回避：资金观望,9.2
000009,中国宝安,7.08,-24.1,1.06,-69.8,1.08,6679663,-34663843,-57994420,-5133297,-5549793,3659563,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,0.4
000008,神州高铁,2.53,-8.4,0.54,36.7,-2.28,-10364921,25098640,-25582265,1090089,-2741551,1168740,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-0.8
000011,深物业A,10.07,224.6,0.71,-25.5,7.59,28943603,42378539,26572418,51847812,61351878,-21288594,放量,中,主力偏强放量,抢筹,短线抢筹型,资金+业绩共振(双击候选),B,关注：资金+业绩共振,98.5
000019,深粮控股,7.22,430.5,0.28,273.8,2.19,25194449,110023031,102485277,11604430,9192674,12398858,放量,低,游资情绪,抢筹,趋势转多型,资金+业绩共振(双击候选),B,关注：资金+业绩共振,88.7
000001,平安银行,11.67,-26.8,1.18,11.1,3.55,195388572,90757579,-355837022,84538808,53570977,-81891593,缩量,低,情绪退潮,进场,资金观望型,资金+业绩共振(双击候选),B,关注：资金+业绩共振,73.2
000017,深中华A,11.21,1132.4,2.23,962.5,-1.22,-53372209,21565049,6537552,-22614117,20888273,59568646,放量,低,游资情绪,抢筹,资金观望型,机构吸筹+盈利(关注),C,谨慎：资金流入未验证业绩,47.6
000025,特  力Ａ,15.83,161.6,2.07,160.9,2.29,39531633,76917120,46554518,-41301709,-46791034,32467602,放量,低,游资情绪,观望,趋势转多型,,D,回避：资金观望,8.8
000030,富奥股份,4.04,-31.3,0.23,24.7,-6.72,-17874231,-9557078,15579385,4947784,2231942,-5576901,缩量,低,情绪退潮,观望,高位分歧型,,D,回避：资金观望,-2.2
000027,深圳能源,6.35,-52.7,0.64,18.2,-3.48,-34862103,-55936855,-97294863,-6699479,-4047884,6699882,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-1.2
000026,飞亚达,20.16,-50.2,4.66,-24.3,3.22,27523114,64571184,130135017,-10616341,-8714091,12607323,缩量,低,情绪退潮,观望,主力建仓型,,D,回避：资金观望,1.1
000031,大悦城,2.2,82.7,2.03,-0.4,-2.21,-10322952,-17643004,22621622,5362887,1391290,-11500335,放量,低,游资情绪,观望,长线吸筹型,,D,回避：资金观望,7.3
000037,深南电A,9.67,-66.3,0.4,-55.5,4.16,34440174,11353398,-3611080,-3798208,-2100661,9093259,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,1.4
000028,国药一致,19.94,-54.9,0.29,-42.0,-0.08,-153817,-14074041,-41532274,-247943,599968,2144707,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-0.0
000036,华联控股,4.05,7.5,0.99,-3.9,-5.78,-29141618,-53451065,-85021751,22814321,14681094,-20043621,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-1.9
000029,深深房Ａ,22.19,4.5,3.0,31.0,-1.66,-11029886,65918503,56002203,-20593234,-35095892,212661,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-0.6
000034,神州数码,24.29,-65.5,3.02,-45.8,-0.01,-130234,-201372848,-170019303,-31442352,-24405916,23324433,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-0.0
000042,中洲控股,8.67,29.5,1.87,41.6,-1.9,-6702420,-33810672,-66798339,9388792,4487511,-16566616,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-0.6
000039,中集集团,9.14,13.8,0.59,-29.6,1.52,23281909,75230197,210519177,-54308947,-38846387,24532876,缩量,低,情绪退潮,观望,均衡流入型,,D,回避：资金观望,0.5
000032,深桑达Ａ,14.8,-77.6,3.91,-17.1,-1.53,-32972593,-11944878,118713374,24680282,21507633,-15687529,缩量,低,情绪退潮,吸筹,高位分歧型,纯资金炒作(亏损风险),C,谨慎：纯资金炒作,3.5
000045,深纺织Ａ,11.1,21.4,0.24,51.4,0.44,2191665,87334,1348259,-4000336,-451027,10251881,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,0.1
000035,中国天楹,4.81,-22.1,0.47,-43.1,2.85,16767695,-4084318,-101996260,9425238,3128670,-10389521,缩量,低,情绪退潮,进场,资金观望型,资金+业绩共振(双击候选),B,关注：资金+业绩共振,73.0
000049,德赛电池,23.47,-39.0,0.75,-2.6,-6.24,-39417946,-7447904,-90624903,-17538762,-11361442,8488908,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-2.1
000065,北方国际,10.06,3.2,0.18,116.8,3.78,82518112,64019069,55456258,-21565539,-27570381,21044799,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,1.3
