sh600000,浦发银行
sh600009,上海机场
sh600010,包钢股份
sh600011,华能国际
sh600015,华夏银行
sh600016,民生银行
sh600018,上港集团
sh600019,宝钢股份
sh600023,浙能电力
sh600025,华能水电
sh600028,中国石化
sh600029,南方航空
sh600030,中信证券
sh600031,三一重工
sh600036,招商银行
sh600039,四川路桥
sh600048,保利发展
sh600050,中国联通
sh600061,国投资本
sh600085,同仁堂
sh600089,特变电工
sh600104,上汽集团
sh600111,北方稀土
sh600115,中国东航
sh600132,重庆啤酒
sh600150,中国船舶
sh600176,中国巨石
sh600183,生益科技
sh600188,兖矿能源
sh600196,复星医药
sh600219,南山铝业
sh600233,圆通速递
sh600276,恒瑞医药
sh600309,万华化学
sh600332,白云山
sh600346,恒力石化
sh600362,江西铜业
sh600372,中航机载
sh600406,国电南瑞
sh600426,华鲁恒升
sh600436,片仔癀
sh600438,通威股份
sh600460,士兰微
sh600489,中金黄金
sh600515,海南机场
sh600519,贵州茅台
sh600547,山东黄金
sh600570,恒生电子
sh600584,长电科技
sh600585,海螺水泥
sh600588,用友网络
sh600600,青岛啤酒
sh600606,绿地控股
sh600660,福耀玻璃
sh600674,川投能源
sh600690,海尔智家
sh600732,爱旭股份
sh600741,华域汽车
sh600745,*ST闻泰
sh600754,锦江酒店
sh600760,中航沈飞
sh600795,国电电力
sh600803,新奥股份
sh600809,山西汾酒
sh600837,海通证券
sh600845,宝信软件
sh600875,东方电气
sh600886,国投电力
sh600887,伊利股份
sh600893,航发动力
sh600900,长江电力
sh600905,三峡能源
sh600918,中泰证券
sh600919,江苏银行
sh600926,杭州银行
sh600938,中国海油
sh600941,中国移动
sh600958,东方证券
sh600989,宝丰能源
sh600999,招商证券
sh601006,大秦铁路
sh601009,南京银行
sh601012,隆基绿能
sh601021,春秋航空
sh601059,信达证券
sh601066,中信建投
sh601088,中国神华
sh601100,恒立液压
sh601111,中国国航
sh601117,中国化学
sh601138,工业富联
sh601155,新城控股
sh601166,兴业银行
sh601169,北京银行
sh601186,中国铁建
sh601211,国泰海通
sh601225,陕西煤业
sh601229,上海银行
sh601236,红塔证券
sh601238,广汽集团
sh601288,农业银行
sh601318,中国平安
sh601319,中国人保
sh601328,交通银行
sh601336,新华保险
sh601360,三六零
sh601377,兴业证券
sh601390,中国中铁
sh601398,工商银行
sh601600,中国铝业
sh601601,中国太保
sh601607,上海医药
sh601615,明阳智能
sh601618,中国中冶
sh601628,中国人寿
sh601633,长城汽车
sh601658,邮储银行
sh601668,中国建筑
sh601669,中国电建
sh601688,华泰证券
sh601689,拓普集团
sh601698,中国卫通
sh601699,潞安环能
sh601728,中国电信
sh601766,中国中车
sh601788,光大证券
sh601799,星宇股份
sh601800,中国交建
sh601808,中海油服
sh601816,京沪高铁
sh601818,光大银行
sh601838,成都银行
sh601857,中国石油
sh601865,福莱特
sh601868,中国能建
sh601872,招商轮船
sh601877,正泰电器
sh601878,浙商证券
sh601881,中国银河
sh601888,中国中免
sh601898,中煤能源
sh601899,紫金矿业
sh601901,方正证券
sh601916,浙商银行
sh601919,中远海控
sh601939,建设银行
sh601985,中国核电
sh601988,中国银行
sh601989,中国重工
sh601995,中金公司
sh601998,中信银行
sh603019,中科曙光
sh603195,公牛集团
sh603259,药明康德
sh603260,合盛硅业
sh603288,海天味业
sh603290,斯达半导
sh603369,今世缘
sh603392,万泰生物
sh603486,科沃斯
sh603501,豪威集团
sh603659,璞泰来
sh603799,华友钴业
sh603806,福斯特
sh603833,欧派家居
sh603899,晨光股份
sh603986,兆易创新
sh603993,洛阳钼业
sh605117,德业股份
sh605499,东鹏饮料
sh688008,澜起科技
sh688012,中微公司
sh688036,传音控股
sh688041,海光信息
sh688065,凯赛生物
sh688111,金山办公
sh688126,沪硅产业
sh688187,时代电气
sh688223,晶科能源
sh688256,寒武纪
sh688271,联影医疗
sh688303,大全能源
sh688363,华熙生物
sh688396,华润微
sh688561,奇安信
sh688599,天合光能
sh688981,中芯国际
sz000001,平安银行
sz000002,万 科Ａ
sz000063,中兴通讯
sz000069,华侨城Ａ
sz000100,TCL科技
sz000157,中联重科
sz000166,申万宏源
sz000301,东方盛虹
sz000333,美的集团
sz000338,潍柴动力
sz000408,藏格矿业
sz000425,徐工机械
sz000538,云南白药
sz000568,泸州老窖
sz000596,古井贡酒
sz000617,中油资本
sz000625,长安汽车
sz000651,格力电器
sz000661,长春高新
sz000708,中信特钢
sz000725,京东方Ａ
sz000733,振华科技
sz000768,中航西飞
sz000776,广发证券
sz000786,北新建材
sz000792,盐湖股份
sz000800,一汽解放
sz000858,五 粮 液
sz000876,新 希 望
sz000877,天山股份
sz000895,双汇发展
sz000938,紫光股份
sz000963,华东医药
sz000977,浪潮信息
sz000983,山西焦煤
sz000999,华润三九
sz001289,龙源电力
sz001979,招商蛇口
sz002001,新 和 成
sz002007,华兰生物
sz002027,分众传媒
sz002049,紫光国微
sz002050,三花智控
sz002074,国轩高科
sz002129,TCL中环
sz002142,宁波银行
sz002179,中航光电
sz002180,奔图科技
sz002202,金风科技
sz002230,科大讯飞
sz002236,大华股份
sz002241,歌尔股份
sz002252,上海莱士
sz002271,东方雨虹
sz002304,洋河股份
sz002311,海大集团
sz002352,顺丰控股
sz002371,北方华创
sz002410,广联达
sz002415,海康威视
sz002459,晶澳科技
sz002460,赣锋锂业
sz002466,天齐锂业
sz002475,立讯精密
sz002493,荣盛石化
sz002555,三七互娱
sz002594,比亚迪
sz002601,龙佰集团
sz002603,以岭药业
sz002648,卫星化学
sz002709,天赐材料
sz002714,牧原股份
sz002736,国信证券
sz002812,恩捷股份
sz002821,凯莱英
sz002841,视源股份
sz002916,深南电路
sz002920,德赛西威
sz002938,鹏鼎控股
sz003816,中国广核
sz300014,亿纬锂能
sz300015,爱尔眼科
sz300033,同花顺
sz300059,东方财富
sz300122,智飞生物
sz300124,汇川技术
sz300142,沃森生物
sz300223,北京君正
sz300274,阳光电源
sz300308,中际旭创
sz300316,晶盛机电
sz300347,泰格医药
sz300408,三环集团
sz300413,芒果超媒
sz300433,蓝思科技
sz300450,先导智能
sz300454,深信服
sz300496,中科创达
sz300498,温氏股份
sz300628,亿联网络
sz300661,圣邦股份
sz300750,宁德时代
sz300751,迈为股份
sz300759,康龙化成
sz300760,迈瑞医疗
sz300763,锦浪科技
sz300782,卓胜微
sz300896,爱美客
sz300919,中伟新材
sz300957,贝泰妮
sz300979,华利集团
sz300999,金龙鱼
sz301269,华大九天
