code,name,industry
sz000001,平安银行,银行
sz000002,万  科Ａ,房地产
sz000006,深振业Ａ,房地产
sz000007,全新好,商贸零售
sz000008,神州高铁,机械设备
sz000009,中国宝安,电力设备
sz000011,深物业A,房地产
sz000012,南  玻Ａ,建筑材料
sz000014,沙河股份,房地产
sz000017,深中华A,纺织服饰
sz000019,深粮控股,农林牧渔
sz000020,深华发Ａ,电子
sz000021,深科技,电子
sz000024,招商地产,-
sz000025,特  力Ａ,综合
sz000026,飞亚达,纺织服饰
sz000027,深圳能源,公用事业
sz000028,国药一致,医药生物
sz000029,深深房Ａ,房地产
sz000030,富奥股份,汽车
sz000031,大悦城,房地产
sz000032,深桑达Ａ,建筑装饰
sz000034,神州数码,计算机
sz000035,中国天楹,环保
sz000036,华联控股,房地产
sz000037,深南电A,公用事业
sz000039,中集集团,机械设备
sz000042,中洲控股,房地产
sz000045,深纺织Ａ,电子
sz000048,京基智农,农林牧渔
sz000049,德赛电池,电力设备
sz000050,深天马Ａ,电子
sz000055,方大集团,建筑材料
sz000058,深 赛 格,商贸零售
sz000059,华锦股份,石油石化
sz000060,中金岭南,有色金属
sz000061,农 产 品,商贸零售
sz000062,深圳华强,电子
sz000063,中兴通讯,通信
sz000065,北方国际,建筑装饰
sz000066,中国长城,计算机
sz000068,华控赛格,环保
sz000069,华侨城Ａ,房地产
sz000070,特发信息,通信
sz000088,盐 田 港,交通运输
sz000089,深圳机场,交通运输
sz000090,天健集团,房地产
sz000096,广聚能源,石油石化
sz000099,中信海直,交通运输
sz000100,TCL科技,电子
sz000151,中成股份,商贸零售
sz000153,丰原药业,医药生物
sz000155,川能动力,公用事业
sz000156,华数传媒,传媒
sz000157,中联重科,机械设备
sz000158,常山北明,计算机
sz000159,国际实业,电力设备
sz000166,申万宏源,非银金融
sz000301,东方盛虹,石油石化
sz000333,美的集团,家用电器
sz000338,潍柴动力,汽车
sz000400,许继电气,电力设备
sz000401,金隅冀东,建筑材料
sz000402,金 融 街,房地产
sz000403,派林生物,医药生物
sz000404,长虹华意,家用电器
sz000406,石油大明,-
sz000407,胜利股份,公用事业
sz000408,藏格矿业,基础化工
sz000409,云鼎科技,计算机
sz000410,沈阳机床,机械设备
sz000411,英特集团,医药生物
sz000415,渤海租赁,非银金融
sz000417,合百集团,商贸零售
sz000418,小天鹅A,-
