# 行业龙头自选股池 — 盘前市场报告
# 覆盖申万一级行业 28 个，每个行业1-3只龙头
# 来源：自选 + 通达信各行业龙头股交叉验证
# 格式：代码,名称,行业,备注
sh601398,工商银行,银行,国有行龙头
sh600030,中信证券,证券,券商龙头
sh601318,中国平安,保险,综合金融龙头
sh600519,贵州茅台,食品饮料,白酒龙头
sh600887,伊利股份,食品饮料,乳制品龙头
sh600276,恒瑞医药,医药,创新药龙头
sh603259,药明康德,医药,CXO龙头
sz300760,迈瑞医疗,医药,医疗器械龙头
sz300750,宁德时代,电力设备,动力电池龙头
sz002594,比亚迪,汽车,新能源车龙头
sz002475,立讯精密,电子,消费电子龙头
sz000725,京东方A,电子,面板龙头
sz002371,北方华创,电子,半导体设备龙头
sz000333,美的集团,家用电器,家电龙头
sh601899,紫金矿业,有色金属,矿业龙头
sh600900,长江电力,公用事业,水电龙头
sz000063,中兴通讯,通信,设备龙头
sh601728,中国电信,通信,运营商龙头
sz300308,中际旭创,通信,光模块龙头
sh601857,中国石油,石油石化,能源龙头
sh601088,中国神华,煤炭,煤炭龙头
sh600585,海螺水泥,建筑材料,水泥龙头
sh600760,中航沈飞,国防军工,军机龙头
sh600879,航天电子,国防军工,航天电子龙头
sz002714,牧原股份,农林牧渔,生猪养殖龙头
sh600309,万华化学,基础化工,化工龙头
sz002027,分众传媒,传媒,广告龙头
sh601888,中国中免,社会服务,免税龙头
sh600019,宝钢股份,钢铁,钢铁龙头
sh603019,中科曙光,计算机,算力龙头
sz300751,迈为股份,电力设备,光伏设备龙头
sh601012,隆基绿能,电力设备,光伏组件龙头
sz000002,万科A,房地产,地产龙头
sz002352,顺丰控股,交通运输,物流龙头
sh600031,三一重工,机械设备,工程机械龙头
